FL.No.234,204.00,-305.00,73.00,0.00
FL.No.235,200.00,-309.00,74.00,0.00
FL.No.236,197.00,-314.00,75.00,0.00
FL.No.237,194.00,-320.00,76.00,0.00
FL.No.238,191.00,-326.00,77.00,0.00
FL.No.239,188.00,-333.00,78.00,0.00
FL.No.240,186.00,-340.00,78.00,0.00
FL.No.241,185.00,-347.00,79.00,0.00
FL.No.242,184.00,-354.00,80.00,0.00
FL.No.243,183.00,-362.00,81.00,0.00
FL.No.244,183.00,-369.00,82.00,0.00
FL.No.245,182.00,-376.00,84.00,0.00
FL.No.246,183.00,-383.00,85.00,0.00
FL.No.247,183.00,-390.00,87.00,0.00
FL.No.248,184.00,-397.00,89.00,0.00
FL.No.249,185.00,-404.00,93.00,0.00
FL.No.250,186.00,-410.00,95.00,0.00
FL.No.251,188.00,-417.00,97.00,0.00
FL.No.252,191.00,-423.00,98.00,0.00
FL.No.253,194.00,-430.00,99.00,0.00
FL.No.254,198.00,-436.00,101.00,0.00
FL.No.255,203.00,-441.00,102.00,0.00
FL.No.256,208.00,-447.00,103.00,0.00
FL.No.257,213.00,-452.00,103.00,0.00
FL.No.258,219.00,-457.00,104.00,0.00
FL.No.259,225.00,-460.00,102.00,0.00
FL.No.260,231.00,-464.00,102.00,0.00
FL.No.261,237.00,-466.00,102.00,0.00
FL.No.262,243.00,-468.00,101.00,0.00
FL.No.263,249.00,-469.00,101.00,0.00
FL.No.264,255.00,-471.00,101.00,0.00
FL.No.265,262.00,-471.00,100.00,0.00
FL.No.266,268.00,-472.00,99.00,0.00
FL.No.267,275.00,-471.00,98.00,0.00
FL.No.268,281.00,-471.00,97.00,0.00
FL.No.269,288.00,-470.00,96.00,0.00
FL.No.270,294.00,-469.00,95.00,0.00
FL.No.271,300.00,-468.00,94.00,0.00
FL.No.272,305.00,-467.00,94.00,0.00
FL.No.273,311.00,-466.00,93.00,0.00
FL.No.274,316.00,-465.00,92.00,0.00
FL.No.275,321.00,-463.00,92.00,0.00
FL.No.276,326.00,-461.00,91.00,0.00
FL.No.277,331.00,-459.00,91.00,0.00
FL.No.278,336.00,-457.00,90.00,0.00
FL.No.279,340.00,-455.00,90.00,0.00
FL.No.280,345.00,-453.00,90.00,0.00
FL.No.281,349.00,-450.00,89.00,0.00
FL.No.282,354.00,-447.00,88.00,0.00
FL.No.283,358.00,-443.00,87.00,0.00
FL.No.284,361.00,-439.00,86.00,0.00
FL.No.285,364.00,-435.00,85.00,0.00
FL.No.286,367.00,-430.00,83.00,0.00
FL.No.287,369.00,-424.00,82.00,0.00
FL.No.288,372.00,-419.00,81.00,0.00
FL.No.289,374.00,-413.00,80.00,0.00
FL.No.290,376.00,-407.00,79.00,0.00
FL.No.291,379.00,-402.00,78.00,0.00
FL.No.292,382.00,-396.00,78.00,0.00
FL.No.293,384.00,-391.00,78.00,0.00
FL.No.294,387.00,-386.00,78.00,0.00
FL.No.295,389.00,-381.00,78.00,0.00
FL.No.296,391.00,-377.00,79.00,0.00
FL.No.297,393.00,-373.00,80.00,0.00
FL.No.298,395.00,-369.00,81.00,0.00
FL.No.299,396.00,-365.00,81.00,0.00
FL.No.300,396.00,-360.00,81.00,0.00
FL.No.301,397.00,-356.00,81.00,0.00
FL.No.302,397.00,-351.00,82.00,0.00
FL.No.303,396.00,-346.00,82.00,0.00
FL.No.304,396.00,-341.00,82.00,0.00
FL.No.305,394.00,-335.00,82.00,0.00
FL.No.306,393.00,-329.00,82.00,0.00
FL.No.307,391.00,-322.00,81.00,0.00
